Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.002,0.016,0.004,0.00,0.00,0.008,0.016,0.006,0.00,0.004,0.006,0.002,0.00,0.002,0.012,0.00,0.006,0.006,0.006,0.00,0.00,0.00,0.010,0.006,0.002,0.016,0.021,0.004,0.002,0.002,0.004,0.002,0.002,0.008,0.014,0.00,0.012,0.016,0.00,0.00,0.010,0.017,0.012,0.029,0.008,0.004,0.002,0.004,0.012,0.00,0.016,0.014,0.006,0.004,0.00,0.010,0.004,0.016,0.008,0.023,0.027,0.00,0.006,0.002,0.016,0.002,0.014,0.004,0.010,0.012,0.014,0.00,0.002,0.010,0.031,0.010,0.002,0.010,0.008,0.00,0.021,0.004,0.00,0.00,0.012,0.070,0.008,0.004,0.006,0.072,0.008,0.027,0.033,0.002,0.012,0.014,0.047,0.031,0.031,0.016,515
Client   1,0.015,0.00,0.004,0.006,0.025,0.013,0.013,0.008,0.006,0.011,0.00,0.008,0.006,0.027,0.017,0.00,0.008,0.006,0.011,0.013,0.004,0.015,0.004,0.011,0.013,0.010,0.029,0.025,0.034,0.053,0.027,0.002,0.002,0.015,0.029,0.00,0.008,0.002,0.008,0.004,0.004,0.004,0.017,0.021,0.00,0.010,0.00,0.004,0.004,0.010,0.00,0.011,0.008,0.006,0.00,0.011,0.008,0.032,0.025,0.015,0.023,0.004,0.00,0.010,0.029,0.011,0.002,0.00,0.017,0.034,0.008,0.017,0.006,0.006,0.008,0.042,0.029,0.004,0.002,0.00,0.015,0.040,0.017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,525
Client   2,0.019,0.004,0.016,0.031,0.049,0.035,0.021,0.008,0.00,0.012,0.010,0.012,0.004,0.00,0.00,0.002,0.004,0.008,0.021,0.008,0.00,0.002,0.023,0.018,0.002,0.006,0.002,0.004,0.002,0.00,0.002,0.00,0.023,0.058,0.021,0.002,0.002,0.008,0.002,0.002,0.006,0.00,0.004,0.010,0.014,0.004,0.004,0.004,0.019,0.018,0.010,0.025,0.021,0.027,0.035,0.004,0.00,0.002,0.010,0.023,0.006,0.00,0.00,0.00,0.002,0.014,0.006,0.00,0.002,0.010,0.008,0.004,0.006,0.012,0.004,0.004,0.019,0.014,0.021,0.012,0.018,0.004,0.004,0.018,0.033,0.010,0.004,0.006,0.019,0.027,0.00,0.019,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,513
Client   3,0.002,0.00,0.002,0.013,0.007,0.026,0.015,0.007,0.007,0.002,0.022,0.011,0.011,0.004,0.026,0.018,0.004,0.00,0.004,0.00,0.009,0.002,0.00,0.004,0.009,0.011,0.00,0.00,0.007,0.013,0.004,0.00,0.002,0.00,0.004,0.007,0.007,0.020,0.013,0.018,0.004,0.011,0.009,0.00,0.00,0.009,0.033,0.033,0.002,0.022,0.013,0.004,0.022,0.009,0.004,0.029,0.020,0.00,0.009,0.011,0.018,0.024,0.009,0.004,0.009,0.009,0.048,0.040,0.024,0.020,0.00,0.00,0.004,0.011,0.002,0.00,0.013,0.004,0.007,0.00,0.007,0.013,0.020,0.033,0.009,0.004,0.020,0.011,0.00,0.009,0.007,0.00,0.00,0.002,0.002,0.00,0.029,0.026,0.004,0.00,454
Client   4,0.002,0.010,0.025,0.010,0.00,0.004,0.00,0.00,0.012,0.016,0.002,0.002,0.00,0.008,0.025,0.004,0.004,0.006,0.025,0.022,0.018,0.002,0.016,0.018,0.020,0.018,0.006,0.006,0.018,0.016,0.016,0.010,0.004,0.014,0.012,0.010,0.008,0.010,0.008,0.016,0.010,0.025,0.006,0.002,0.002,0.002,0.008,0.008,0.027,0.020,0.002,0.006,0.008,0.006,0.00,0.004,0.012,0.022,0.014,0.016,0.00,0.00,0.008,0.008,0.002,0.006,0.004,0.002,0.027,0.029,0.00,0.008,0.016,0.004,0.006,0.00,0.016,0.025,0.020,0.004,0.00,0.00,0.00,0.012,0.008,0.006,0.002,0.00,0.002,0.016,0.00,0.002,0.031,0.012,0.00,0.016,0.069,0.025,0.00,0.00,510
Client   5,0.002,0.018,0.007,0.031,0.016,0.002,0.004,0.004,0.002,0.011,0.018,0.049,0.025,0.004,0.013,0.025,0.007,0.013,0.009,0.004,0.007,0.020,0.011,0.00,0.011,0.009,0.00,0.004,0.00,0.009,0.016,0.013,0.018,0.020,0.013,0.009,0.043,0.020,0.022,0.016,0.009,0.016,0.004,0.00,0.00,0.00,0.007,0.007,0.009,0.00,0.002,0.004,0.00,0.002,0.002,0.002,0.002,0.004,0.007,0.009,0.031,0.020,0.025,0.027,0.002,0.020,0.022,0.002,0.002,0.007,0.013,0.011,0.00,0.043,0.029,0.007,0.002,0.016,0.016,0.007,0.004,0.013,0.016,0.00,0.009,0.002,0.00,0.00,0.007,0.002,0.00,0.013,0.004,0.00,0.00,0.002,0.002,0.00,0.002,0.002,446
Client   6,0.004,0.002,0.002,0.025,0.017,0.012,0.006,0.010,0.008,0.004,0.019,0.006,0.002,0.00,0.002,0.004,0.006,0.019,0.006,0.006,0.017,0.021,0.004,0.008,0.014,0.008,0.004,0.00,0.002,0.010,0.002,0.031,0.035,0.004,0.00,0.002,0.004,0.00,0.002,0.010,0.021,0.060,0.043,0.031,0.014,0.029,0.004,0.008,0.041,0.021,0.002,0.004,0.006,0.010,0.008,0.002,0.021,0.037,0.023,0.004,0.00,0.004,0.004,0.004,0.00,0.002,0.00,0.004,0.002,0.004,0.002,0.00,0.004,0.010,0.010,0.00,0.006,0.019,0.008,0.004,0.004,0.002,0.012,0.035,0.012,0.00,0.004,0.008,0.006,0.004,0.006,0.004,0.010,0.008,0.012,0.014,0.008,0.004,0.008,0.014,484
Client   7,0.012,0.012,0.004,0.026,0.010,0.030,0.010,0.014,0.014,0.018,0.008,0.014,0.002,0.00,0.008,0.00,0.024,0.040,0.014,0.002,0.014,0.006,0.00,0.006,0.006,0.022,0.024,0.014,0.010,0.002,0.020,0.014,0.006,0.008,0.010,0.028,0.020,0.002,0.002,0.024,0.008,0.002,0.00,0.008,0.022,0.004,0.008,0.008,0.016,0.00,0.002,0.014,0.004,0.002,0.002,0.014,0.004,0.00,0.00,0.00,0.010,0.018,0.016,0.002,0.004,0.014,0.028,0.026,0.020,0.016,0.002,0.008,0.008,0.00,0.004,0.006,0.008,0.00,0.004,0.010,0.026,0.014,0.012,0.004,0.002,0.008,0.002,0.00,0.002,0.006,0.036,0.018,0.006,0.012,0.032,0.00,0.00,0.00,0.00,0.00,501
Client   8,0.002,0.012,0.048,0.056,0.018,0.002,0.002,0.004,0.00,0.00,0.026,0.008,0.004,0.00,0.012,0.014,0.002,0.010,0.034,0.050,0.002,0.016,0.018,0.00,0.002,0.002,0.004,0.010,0.006,0.00,0.002,0.006,0.004,0.006,0.006,0.014,0.004,0.034,0.048,0.020,0.00,0.002,0.00,0.006,0.010,0.002,0.004,0.008,0.042,0.020,0.006,0.008,0.010,0.00,0.004,0.004,0.006,0.014,0.006,0.014,0.006,0.00,0.008,0.026,0.008,0.002,0.002,0.006,0.008,0.004,0.014,0.008,0.002,0.00,0.024,0.004,0.008,0.004,0.010,0.008,0.014,0.012,0.044,0.014,0.00,0.016,0.028,0.036,0.012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,501
Client   9,0.00,0.011,0.004,0.00,0.00,0.017,0.002,0.004,0.004,0.011,0.007,0.004,0.002,0.002,0.004,0.007,0.009,0.002,0.004,0.002,0.006,0.006,0.009,0.024,0.006,0.002,0.024,0.015,0.073,0.056,0.004,0.006,0.002,0.006,0.002,0.017,0.009,0.00,0.00,0.004,0.009,0.017,0.013,0.032,0.021,0.004,0.019,0.013,0.00,0.006,0.009,0.00,0.002,0.013,0.011,0.002,0.006,0.017,0.015,0.002,0.007,0.006,0.009,0.004,0.006,0.004,0.00,0.002,0.006,0.006,0.024,0.022,0.006,0.002,0.006,0.013,0.004,0.002,0.00,0.032,0.019,0.026,0.009,0.009,0.019,0.004,0.011,0.011,0.007,0.006,0.028,0.007,0.015,0.004,0.009,0.002,0.004,0.049,0.026,0.00,534
Client  10,0.005,0.007,0.002,0.005,0.002,0.007,0.00,0.009,0.028,0.009,0.007,0.017,0.026,0.00,0.009,0.00,0.00,0.005,0.009,0.002,0.005,0.012,0.019,0.009,0.005,0.038,0.031,0.007,0.00,0.002,0.007,0.019,0.017,0.00,0.002,0.026,0.038,0.021,0.012,0.009,0.00,0.00,0.007,0.005,0.007,0.002,0.028,0.017,0.002,0.005,0.00,0.002,0.017,0.002,0.005,0.019,0.005,0.002,0.00,0.021,0.012,0.00,0.009,0.017,0.014,0.026,0.019,0.007,0.009,0.005,0.005,0.017,0.019,0.012,0.021,0.007,0.007,0.00,0.00,0.00,0.002,0.00,0.002,0.007,0.019,0.005,0.024,0.014,0.002,0.002,0.012,0.009,0.012,0.014,0.002,0.002,0.005,0.050,0.028,0.005,423
